src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type
192.168.0.123,35.186.224.24,6,1722604343.190485,54,53143.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.194849,66,443.0,53178.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.194893,54,53178.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.195288,1466,53178.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.195288,733,53178.0,443.0,TCP
35.186.224.22,192.168.0.123,17,1722604343.223122,162,443.0,54907.0,UDP
192.168.0.123,35.186.224.22,17,1722604343.223389,76,54907.0,443.0,UDP
35.186.224.22,192.168.0.123,17,1722604343.224259,1292,443.0,54907.0,UDP
35.186.224.22,192.168.0.123,17,1722604343.224317,69,443.0,54907.0,UDP
192.168.0.123,35.186.224.22,17,1722604343.224532,74,54907.0,443.0,UDP
35.186.224.22,192.168.0.123,6,1722604343.243493,54,443.0,53178.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.243493,54,443.0,53178.0,TCP
192.168.0.123,35.186.224.22,17,1722604343.256007,74,54907.0,443.0,UDP
35.186.224.22,192.168.0.123,6,1722604343.330887,1466,443.0,53178.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.330887,687,443.0,53178.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.330887,1466,443.0,53178.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.330956,66,53178.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.330982,66,53178.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.331008,54,53178.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722604343.331541,118,53178.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.447533,54,443.0,53178.0,TCP
35.186.224.22,192.168.0.123,6,1722604343.447533,640,443.0,53178.0,TCP
35.186.224.22,192.168.0.123,17,1722604343.447533,216,443.0,54907.0,UDP
35.186.224.22,192.168.0.123,17,1722604343.447533,338,443.0,54907.0,UDP
192.168.0.123,35.186.224.22,17,1722604343.448198,77,54907.0,443.0,UDP
192.168.0.123,35.186.224.22,17,1722604343.480145,74,54907.0,443.0,UDP
192.168.0.123,35.186.224.22,6,1722604343.495543,54,53178.0,443.0,TCP
35.186.224.22,192.168.0.123,17,1722604343.513408,66,443.0,54907.0,UDP
192.168.0.123,52.37.252.164,6,1722604343.641627,169,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604343.641677,100,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604343.641692,504,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,54,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,54,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,54,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,100,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,699,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.032944,92,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722604344.033010,54,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604344.033685,96,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722604344.427311,54,443.0,53044.0,TCP
192.168.0.123,157.240.237.60,6,1722604345.397855,54,53157.0,443.0,TCP
157.240.242.61,192.168.0.123,6,1722604349.869859,130,5222.0,53176.0,TCP
157.240.242.61,192.168.0.123,6,1722604349.869859,130,5222.0,53176.0,TCP
192.168.0.123,157.240.242.61,6,1722604349.869899,66,53176.0,5222.0,TCP
192.168.0.123,157.240.242.61,6,1722604349.872143,126,53176.0,5222.0,TCP
157.240.242.61,192.168.0.123,6,1722604350.057685,54,5222.0,53176.0,TCP
192.168.0.123,157.240.237.60,6,1722604355.001228,54,53157.0,443.0,TCP
192.168.0.123,157.240.242.61,6,1722604356.053414,54,53176.0,5222.0,TCP
192.168.0.123,35.186.224.40,6,1722604356.115948,97,52635.0,443.0,TCP
157.240.242.61,192.168.0.123,6,1722604356.180258,54,5222.0,53176.0,TCP
35.186.224.40,192.168.0.123,6,1722604356.180258,54,443.0,52635.0,TCP
35.186.224.40,192.168.0.123,6,1722604356.266810,94,443.0,52635.0,TCP
157.240.242.61,192.168.0.123,6,1722604356.313113,54,5222.0,53176.0,TCP
192.168.0.123,157.240.242.61,6,1722604356.313145,54,53176.0,5222.0,TCP
